# parsed arguments: Namespace(benchmark='Q4b6d5', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='full', expected_only=False)
# loading benchmark...
# table keywords: {'percentage', 'shrinking', 'catholics', 'orange', 'mormons', '3', 'orthodox', 'christian', 'same', '61', '17', 'am.', '7', '13', '34', 'hindus', '6', '42', '65', '14', '51', '67', 'growing', 'growth?', 'color', 'buddhists', 'other', 'muslims', '73', 'non-christian', '8', '12', '20', '37', 'jews', '19', 'native', 'spirituality', 'pagan/earth-based', '1', 'religion', '11', '63', '47', 'blue', '68', 'red', '49', '24', 'protestants', '10', 'unaffiliated', 'staying'}
# input type: [dtype('O'), dtype('O'), dtype('int64'), dtype('O')]
# input is:
                   Religion           Growth?  Percentage   color
# (t=10.90) fallback i=1, candidate=[{'ANSWER': 10}]
  # found 0 program(s)
# (t=11.81) fallback i=2, candidate=[{'ANSWER': 11}]
  # found 0 program(s)
# (t=12.71) fallback i=3, candidate=[{'ANSWER': 12}]
  # found 0 program(s)
# (t=13.61) fallback i=4, candidate=[{'ANSWER': 13}]
  # found 0 program(s)
# (t=14.52) fallback i=5, candidate=[{'ANSWER': 14}]
  # found 0 program(s)
# (t=15.41) fallback i=6, candidate=[{'ANSWER': 17}]
  # found 0 program(s)
# (t=16.31) fallback i=7, candidate=[{'ANSWER': 19}]
  # found 0 program(s)
# (t=17.22) fallback i=8, candidate=[{'ANSWER': 20}]
  # found 0 program(s)
# (t=18.11) fallback i=9, candidate=[{'ANSWER': 24}]
  # found 0 program(s)
# (t=19.01) fallback i=10, candidate=[{'ANSWER': 3}]
  # found 0 program(s)
# (t=19.91) fallback i=11, candidate=[{'ANSWER': 34}]
  # found 0 program(s)
# (t=20.81) fallback i=12, candidate=[{'ANSWER': 37}]
  # found 0 program(s)
# (t=21.70) fallback i=13, candidate=[{'ANSWER': 42}]
  # found 0 program(s)
# (t=22.59) fallback i=14, candidate=[{'ANSWER': 47}]
  # found 0 program(s)
# (t=23.49) fallback i=15, candidate=[{'ANSWER': 49}]
  # found 0 program(s)
# (t=24.39) fallback i=16, candidate=[{'ANSWER': 51}]
  # found 0 program(s)
# (t=25.29) fallback i=17, candidate=[{'ANSWER': 6}]
  # found 0 program(s)
# (t=26.18) fallback i=18, candidate=[{'ANSWER': 61}]
  # found 0 program(s)
# (t=27.09) fallback i=19, candidate=[{'ANSWER': 63}]
  # found 0 program(s)
# (t=27.98) fallback i=20, candidate=[{'ANSWER': 65}]
  # found 0 program(s)
# (t=28.87) fallback i=21, candidate=[{'ANSWER': 67}]
  # found 0 program(s)
# (t=29.77) fallback i=22, candidate=[{'ANSWER': 68}]
  # found 0 program(s)
# (t=30.67) fallback i=23, candidate=[{'ANSWER': 7}]
  # found 0 program(s)
# (t=31.57) fallback i=24, candidate=[{'ANSWER': 73}]
  # found 0 program(s)
# (t=32.46) fallback i=25, candidate=[{'ANSWER': 8}]
  # found 0 program(s)
# (t=33.35) fallback i=26, candidate=[{'ANSWER': 'Buddhists'}]
  # found 0 program(s)
# (t=34.26) fallback i=27, candidate=[{'ANSWER': 'Catholics'}]
  # found 0 program(s)
# (t=35.16) fallback i=28, candidate=[{'ANSWER': 'Growing'}]
  # found 0 program(s)
# (t=36.06) fallback i=29, candidate=[{'ANSWER': 'Growth?'}]
  # found 0 program(s)
# (t=36.90) fallback i=30, candidate=[{'ANSWER': 'Hindus'}]
  # found 0 program(s)
# (t=37.80) fallback i=31, candidate=[{'ANSWER': 'Jews'}]
  # found 0 program(s)
# (t=38.71) fallback i=32, candidate=[{'ANSWER': 'Mormons'}]
  # found 0 program(s)
# (t=39.61) fallback i=33, candidate=[{'ANSWER': 'Muslims'}]
  # found 0 program(s)
# (t=40.51) fallback i=34, candidate=[{'ANSWER': 'Native Am. Spirituality'}]
  # found 0 program(s)
# (t=41.41) fallback i=35, candidate=[{'ANSWER': 'Orthodox Christian'}]
  # found 0 program(s)
# (t=42.31) fallback i=36, candidate=[{'ANSWER': 'Other non-Christian'}]
  # found 0 program(s)
# (t=43.21) fallback i=37, candidate=[{'ANSWER': 'Pagan/earth-based'}]
  # found 0 program(s)
# (t=44.11) fallback i=38, candidate=[{'ANSWER': 'Percentage'}]
  # found 0 program(s)
# (t=44.73) fallback i=39, candidate=[{'ANSWER': 'Protestants'}]
  # found 0 program(s)
# (t=45.64) fallback i=40, candidate=[{'ANSWER': 'Religion'}]
  # found 0 program(s)
# (t=46.26) fallback i=41, candidate=[{'ANSWER': 'Shrinking'}]
  # found 0 program(s)
# (t=47.16) fallback i=42, candidate=[{'ANSWER': 'Staying the same'}]
  # found 0 program(s)
# (t=48.06) fallback i=43, candidate=[{'ANSWER': 'Unaffiliated'}]
  # found 0 program(s)
# (t=48.95) fallback i=44, candidate=[{'ANSWER': 'blue'}]
  # found 0 program(s)
# (t=49.84) fallback i=45, candidate=[{'ANSWER': 'color'}]
  # found 0 program(s)
# (t=50.46) fallback i=46, candidate=[{'ANSWER': 'orange'}]
  # found 0 program(s)
# (t=51.36) fallback i=47, candidate=[{'ANSWER': 'red'}]
  # found 0 program(s)
# ====> fallback strategy (original) is triggered
# ====> use the original TaPas output as answer, which is: [12]

# ========== review report ========== #
