# parsed arguments: Namespace(benchmark='Q77fd3', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='full', expected_only=False)
# loading benchmark...
# table keywords: {'0.176', 'uk', '6.246', 'hungary', '3.695', '1.672', '3.959', 'estonia', 'greece', 'country', '14.78', '5.103', 'malta', 'rebate', 'color', 'france', '11.613', '0.44', 'blue', 'denmark', '4.223', 'portugal', '1.496', '2.375', 'bulgaria', '1.232', 'lithuania', '2.199', '18.651', 'finland', '19.795', '1.408', '15.748', '10.821', '0.616', '20.938', 'czech', 'romania', '2.551', 'spain', 'orange', 'slovakia', 'pre', 'poland', 'post', 'budgetcategory', 'ireland', 'netherlands', '0.0', '0.264', '0.88', 'budget', '25.249', 'germany', '0.792', '25.601', '1.144', '6.51', 'belgium', '1.76', '2.727', 'latvia', 'cyprus', 'slovenia', '2.023', 'luxembourg', 'republic', 'austria', '5.367', 'italy', 'sweden', '16.628'}
# input type: [dtype('O'), dtype('O'), dtype('float64'), dtype('O')]
# input is:
           country  budgetcategory  budget   color
28           Spain   Pre UK rebate  10.821  orange
29           Spain  Post UK rebate  11.613    blue
30        Bulgaria   Pre UK rebate   0.616  orange
31        Bulgaria  Post UK rebate   0.616    blue
32        Portugal   Pre UK rebate   1.672  orange
33        Portugal  Post UK rebate   1.760    blue
34           Malta   Pre UK rebate   0.000  orange
35           Malta  Post UK rebate   0.000    blue
36         Austria   Pre UK rebate   2.727  orange
37         Austria  Post UK rebate   2.727    blue
38         Hungary   Pre UK rebate   1.144  orange
39         Hungary  Post UK rebate   1.232    blue
40        Slovakia   Pre UK rebate   0.792  orange
41        Slovakia  Post UK rebate   0.880    blue
42        Slovenia   Pre UK rebate   0.616  orange
43        Slovenia  Post UK rebate   0.616    blue
44          Greece   Pre UK rebate   2.199  orange
45          Greece  Post UK rebate   2.375    blue
46          Latvia   Pre UK rebate   0.176  orange
47          Latvia  Post UK rebate   0.176    blue
48         Denmark   Pre UK rebate   2.551  orange
49         Denmark  Post UK rebate   2.727    blue
50         Ireland   Pre UK rebate   1.408  orange
51         Ireland  Post UK rebate   1.496    blue
52              UK   Pre UK rebate  18.651  orange
53              UK  Post UK rebate  14.780    blue
# query is: Italy Pre UK rebate budget
# expected output type:[dtype('float64')]
# expected output is:
   ANSWER
0  15.748
# inferred DSL terminals:
  # ConstVal: ['Post UK rebate@Str', 'Italy@Str', 'Pre UK rebate@Str', 'budget@Str', 'UK@Str', '<NULL>']
     # cmap: [('uk', 'UK'), ('budget', 'budget'), ('rebate', 'Pre UK rebate'), ('pre', 'Pre UK rebate'), ('rebate', 'Post UK rebate'), ('uk', 'Pre UK rebate'), ('italy', 'Italy'), ('uk', 'Post UK rebate')]
  # AggrFunc: ['<NULL>']
     # amap: []
  # NumFunc: ['<NULL>']
     # nmap: []
  # BoolFunc: ['==', '<NULL>']
     # bmap: [(None, '==')]
  # IndFunc: ['<NULL>']
     # imap: []
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=6.38) i=1, candidate=[{'ANSWER': 'Belgium'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=7.36) i=2, candidate=[{'ANSWER': 'Belgium'}]
  # found 0 program(s)
# (t=13.71) i=3, candidate=[{'ANSWER': 'Lithuania'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=14.71) i=4, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Poland'}]
  # found 0 program(s)
# (t=15.71) i=5, candidate=[{'ANSWER': 'Ireland'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=16.69) i=6, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Sweden'}]
  # found 0 program(s)
# (t=17.68) i=7, candidate=[{'ANSWER': 'Luxembourg'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=18.67) i=8, candidate=[{'ANSWER': 'Cyprus'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=19.66) i=9, candidate=[{'ANSWER': 'Malta'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=20.64) i=10, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Portugal'}]
  # found 0 program(s)
# (t=21.62) i=11, candidate=[{'ANSWER': 'Bulgaria'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=22.60) i=12, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Spain'}]
  # found 0 program(s)
# (t=23.60) i=13, candidate=[{'ANSWER': 'Austria'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=24.58) i=14, candidate=[{'ANSWER': 'Hungary'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=25.56) i=15, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Slovenia'}]
  # found 0 program(s)
# (t=26.53) i=16, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Slovakia'}]
  # found 0 program(s)
# (t=27.51) i=17, candidate=[{'ANSWER': 'Greece'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=28.50) i=18, candidate=[{'ANSWER': 'Finland'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=29.48) i=19, candidate=[{'ANSWER': 'Latvia'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=30.46) i=20, candidate=[{'ANSWER': 'Germany'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=31.71) i=21, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'Romania'}]
  # found 0 program(s)
# (t=32.68) i=22, candidate=[{'ANSWER': 'Denmark'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=33.66) i=23, candidate=[{'ANSWER': 'Czech Republic'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=34.64) i=24, candidate=[{'ANSWER': 'France'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=35.63) i=25, candidate=[{'ANSWER': 'Italy'}, {'ANSWER': 'Netherlands'}]
  # found 0 program(s)
# (t=36.62) i=26, candidate=[{'ANSWER': 'Netherlands'}, {'ANSWER': 'UK'}]
  # found 0 program(s)
# (t=37.60) i=27, candidate=[{'ANSWER': 'Belgium'}, {'ANSWER': 'Lithuania'}]
  # found 0 program(s)
# (t=38.59) i=28, candidate=[{'ANSWER': 'Belgium'}, {'ANSWER': 'Poland'}]
  # found 0 program(s)
# (t=39.58) i=29, candidate=[{'ANSWER': 'Belgium'}, {'ANSWER': 'Ireland'}]
  # found 0 program(s)
# ====> fallback strategy (retrieval) is triggered because no explanation is found so far
# ====> retrieval_values: [0.0, 0.176, 0.264, 0.44, 0.616, 0.792, 0.88, 1.144, 1.232, 1.408, 1.496, 1.672, 1.76, 10.821, 11.613, 14.78, 15.748, 16.628, 18.651, 19.795, 2.023, 2.199, 2.375, 2.551, 2.727, 20.938, 25.249, 25.601, 3.695, 3.959, 4.223, 5.103, 5.367, 6.246, 6.51, 'Austria', 'Belgium', 'Bulgaria', 'Cyprus', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Ireland', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Poland', 'Portugal', 'Post UK rebate', 'Pre UK rebate', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'UK', 'blue', 'budget', 'budgetcategory', 'color', 'country', 'orange']
# (t=40.56) fallback i=0, candidate=[{'ANSWER': 0.0}]
  # found 0 program(s)
# (t=46.90) fallback i=1, candidate=[{'ANSWER': 0.176}]
  # found 0 program(s)
# (t=53.19) fallback i=2, candidate=[{'ANSWER': 0.264}]
  # found 0 program(s)
# (t=59.57) fallback i=3, candidate=[{'ANSWER': 0.44}]
  # found 0 program(s)
# (t=65.88) fallback i=4, candidate=[{'ANSWER': 0.616}]
  # found 0 program(s)
# (t=72.20) fallback i=5, candidate=[{'ANSWER': 0.792}]
  # found 0 program(s)
# (t=78.50) fallback i=6, candidate=[{'ANSWER': 0.88}]
  # found 0 program(s)
# (t=84.76) fallback i=7, candidate=[{'ANSWER': 1.144}]
  # found 0 program(s)
# (t=91.05) fallback i=8, candidate=[{'ANSWER': 1.232}]
  # found 0 program(s)
# (t=97.38) fallback i=9, candidate=[{'ANSWER': 1.408}]
  # found 0 program(s)
# (t=103.67) fallback i=10, candidate=[{'ANSWER': 1.496}]
  # found 0 program(s)
# (t=109.99) fallback i=11, candidate=[{'ANSWER': 1.672}]
  # found 0 program(s)
# (t=116.61) fallback i=12, candidate=[{'ANSWER': 1.76}]
  # found 0 program(s)
# (t=122.93) fallback i=13, candidate=[{'ANSWER': 10.821}]
  # found 0 program(s)
# (t=129.19) fallback i=14, candidate=[{'ANSWER': 11.613}]
  # found 0 program(s)
# (t=135.52) fallback i=15, candidate=[{'ANSWER': 14.78}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, UK@Str), ==, 1, Post UK rebate@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'country', 'UK'], '==', 'budgetcategory', 'Post UK rebate'], ['budget']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Post UK rebate@Str), ==, 0, UK@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'budgetcategory', 'Post UK rebate'], '==', 'country', 'UK'], ['budget']]
# (t=141.87) fallback i=16, candidate=[{'ANSWER': 15.748}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Italy@Str), ==, 1, Pre UK rebate@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'country', 'Italy'], '==', 'budgetcategory', 'Pre UK rebate'], ['budget']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Pre UK rebate@Str), ==, 0, Italy@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'budgetcategory', 'Pre UK rebate'], '==', 'country', 'Italy'], ['budget']]
# (t=148.26) fallback i=17, candidate=[{'ANSWER': 16.628}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Italy@Str), ==, 1, Post UK rebate@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'country', 'Italy'], '==', 'budgetcategory', 'Post UK rebate'], ['budget']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Post UK rebate@Str), ==, 0, Italy@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'budgetcategory', 'Post UK rebate'], '==', 'country', 'Italy'], ['budget']]
# (t=154.63) fallback i=18, candidate=[{'ANSWER': 18.651}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, UK@Str), ==, 1, Pre UK rebate@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'country', 'UK'], '==', 'budgetcategory', 'Pre UK rebate'], ['budget']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Pre UK rebate@Str), ==, 0, UK@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'budgetcategory', 'Pre UK rebate'], '==', 'country', 'UK'], ['budget']]
# (t=161.00) fallback i=19, candidate=[{'ANSWER': 19.795}]
  # found 0 program(s)
# (t=167.36) fallback i=20, candidate=[{'ANSWER': 2.023}]
  # found 0 program(s)
# (t=173.69) fallback i=21, candidate=[{'ANSWER': 2.199}]
  # found 0 program(s)
# (t=180.05) fallback i=22, candidate=[{'ANSWER': 2.375}]
  # found 0 program(s)
# (t=186.44) fallback i=23, candidate=[{'ANSWER': 2.551}]
  # found 0 program(s)
# (t=192.80) fallback i=24, candidate=[{'ANSWER': 2.727}]
  # found 0 program(s)
# (t=199.15) fallback i=25, candidate=[{'ANSWER': 20.938}]
  # found 0 program(s)
# (t=205.46) fallback i=26, candidate=[{'ANSWER': 25.249}]
  # found 0 program(s)
# (t=211.74) fallback i=27, candidate=[{'ANSWER': 25.601}]
  # found 0 program(s)
# (t=218.36) fallback i=28, candidate=[{'ANSWER': 3.695}]
  # found 0 program(s)
# (t=224.75) fallback i=29, candidate=[{'ANSWER': 3.959}]
  # found 0 program(s)
# (t=231.14) fallback i=30, candidate=[{'ANSWER': 4.223}]
  # found 0 program(s)
# (t=237.55) fallback i=31, candidate=[{'ANSWER': 5.103}]
  # found 0 program(s)
# (t=243.93) fallback i=32, candidate=[{'ANSWER': 5.367}]
  # found 0 program(s)
# (t=250.29) fallback i=33, candidate=[{'ANSWER': 6.246}]
  # found 0 program(s)
# (t=256.62) fallback i=34, candidate=[{'ANSWER': 6.51}]
  # found 0 program(s)
# (t=262.96) fallback i=35, candidate=[{'ANSWER': 'Austria'}]
  # found 0 program(s)
# (t=269.33) fallback i=36, candidate=[{'ANSWER': 'Belgium'}]
  # found 0 program(s)
# (t=275.65) fallback i=37, candidate=[{'ANSWER': 'Bulgaria'}]
  # found 0 program(s)
# (t=282.01) fallback i=38, candidate=[{'ANSWER': 'Cyprus'}]
  # found 0 program(s)
# (t=288.40) fallback i=39, candidate=[{'ANSWER': 'Czech Republic'}]
  # found 0 program(s)
# (t=294.76) fallback i=40, candidate=[{'ANSWER': 'Denmark'}]
---------- timeout ----------

# ========== review report ========== #
# top-1, score: 3.09, answer: [15.748]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Italy@Str), ==, 1, Pre UK rebate@Str), ['2'])
# top-2, score: 3.09, answer: [15.748]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Pre UK rebate@Str), ==, 0, Italy@Str), ['2'])
# top-3, score: 2.89, answer: [16.628]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Italy@Str), ==, 1, Post UK rebate@Str), ['2'])
# top-4, score: 2.89, answer: [16.628]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Post UK rebate@Str), ==, 0, Italy@Str), ['2'])
# top-5, score: 2.89, answer: [18.651]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, UK@Str), ==, 1, Pre UK rebate@Str), ['2'])
# top-6, score: 2.89, answer: [18.651]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Pre UK rebate@Str), ==, 0, UK@Str), ['2'])
# top-7, score: 2.69, answer: [14.78]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, UK@Str), ==, 1, Post UK rebate@Str), ['2'])
# top-8, score: 2.69, answer: [14.78]
  # tprog: SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Post UK rebate@Str), ==, 0, UK@Str), ['2'])
