# parsed arguments: Namespace(benchmark='Qd0a26', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='optimal-only', expected_only=False)
# loading benchmark...
# table keywords: {'56', '66', '49', 'usa', 'aut', '53', 'fin', '57', 'gbr', 'aus', '52', 'ita', '70', '62', 'swe', '60', 'nld', 'che', 'nor', '75', 'kor', 'fra', 'blue', 'can', '0', 'jpn', 'bel', 'prt', '54', 'dnk', '61', '64', '59', '42', 'irl', 'country', 'rating', '76', 'esp', 'color', 'deu', '48'}
# input type: [dtype('O'), dtype('int64'), dtype('O')]
# input is:
   country  rating color
# ====> retrieval_values: [0, 42, 48, 49, 52, 53, 54, 56, 57, 59, 60, 61, 62, 64, 66, 70, 75, 76, 'AUS', 'AUT', 'BEL', 'CAN', 'CHE', 'DEU', 'DNK', 'ESP', 'FIN', 'FRA', 'GBR', 'IRL', 'ITA', 'JPN', 'KOR', 'NLD', 'NOR', 'PRT', 'SWE', 'USA', 'blue', 'color', 'country', 'rating']
# (t=0.39) fallback i=0, candidate=[{'ANSWER': 0}]
  # found 0 program(s)
# (t=0.77) fallback i=1, candidate=[{'ANSWER': 42}]
  # found 0 program(s)
# (t=1.15) fallback i=2, candidate=[{'ANSWER': 48}]
  # found 0 program(s)
# (t=1.53) fallback i=3, candidate=[{'ANSWER': 49}]
  # found 0 program(s)
# (t=1.92) fallback i=4, candidate=[{'ANSWER': 52}]
  # found 0 program(s)
# (t=2.31) fallback i=5, candidate=[{'ANSWER': 53}]
  # found 0 program(s)
# (t=2.69) fallback i=6, candidate=[{'ANSWER': 54}]
  # found 0 program(s)
# (t=3.08) fallback i=7, candidate=[{'ANSWER': 56}]
  # found 0 program(s)
# (t=3.46) fallback i=8, candidate=[{'ANSWER': 57}]
  # found 0 program(s)
# (t=3.85) fallback i=9, candidate=[{'ANSWER': 59}]
  # found 0 program(s)
# (t=4.24) fallback i=10, candidate=[{'ANSWER': 60}]
  # found 0 program(s)
# (t=4.62) fallback i=11, candidate=[{'ANSWER': 61}]
  # found 0 program(s)
# (t=5.01) fallback i=12, candidate=[{'ANSWER': 62}]
  # found 0 program(s)
# (t=5.38) fallback i=13, candidate=[{'ANSWER': 64}]
  # found 0 program(s)
# (t=5.76) fallback i=14, candidate=[{'ANSWER': 66}]
  # found 0 program(s)
# (t=6.13) fallback i=15, candidate=[{'ANSWER': 70}]
  # found 0 program(s)
# (t=6.52) fallback i=16, candidate=[{'ANSWER': 75}]
  # found 0 program(s)
# (t=6.90) fallback i=17, candidate=[{'ANSWER': 76}]
  # found 0 program(s)
# (t=7.28) fallback i=18, candidate=[{'ANSWER': 'AUS'}]
  # found 0 program(s)
# (t=7.67) fallback i=19, candidate=[{'ANSWER': 'AUT'}]
  # found 0 program(s)
# (t=8.06) fallback i=20, candidate=[{'ANSWER': 'BEL'}]
  # found 0 program(s)
# (t=8.45) fallback i=21, candidate=[{'ANSWER': 'CAN'}]
  # found 0 program(s)
# (t=8.83) fallback i=22, candidate=[{'ANSWER': 'CHE'}]
  # found 0 program(s)
# (t=9.22) fallback i=23, candidate=[{'ANSWER': 'DEU'}]
  # found 0 program(s)
# (t=9.61) fallback i=24, candidate=[{'ANSWER': 'DNK'}]
  # found 0 program(s)
# (t=9.99) fallback i=25, candidate=[{'ANSWER': 'ESP'}]
  # found 0 program(s)
# (t=10.38) fallback i=26, candidate=[{'ANSWER': 'FIN'}]
  # found 0 program(s)
# (t=10.77) fallback i=27, candidate=[{'ANSWER': 'FRA'}]
  # found 0 program(s)
# (t=11.15) fallback i=28, candidate=[{'ANSWER': 'GBR'}]
  # found 0 program(s)
# (t=11.81) fallback i=29, candidate=[{'ANSWER': 'IRL'}]
  # found 0 program(s)
# (t=12.18) fallback i=30, candidate=[{'ANSWER': 'ITA'}]
  # found 0 program(s)
# (t=12.56) fallback i=31, candidate=[{'ANSWER': 'JPN'}]
  # found 0 program(s)
# (t=12.93) fallback i=32, candidate=[{'ANSWER': 'KOR'}]
  # found 0 program(s)
# (t=13.31) fallback i=33, candidate=[{'ANSWER': 'NLD'}]
  # found 0 program(s)
# (t=13.68) fallback i=34, candidate=[{'ANSWER': 'NOR'}]
  # found 0 program(s)
# (t=14.05) fallback i=35, candidate=[{'ANSWER': 'PRT'}]
  # found 0 program(s)
# (t=14.42) fallback i=36, candidate=[{'ANSWER': 'SWE'}]
  # found 0 program(s)
# (t=14.80) fallback i=37, candidate=[{'ANSWER': 'USA'}]
  # found 0 program(s)
# (t=15.17) fallback i=38, candidate=[{'ANSWER': 'blue'}]
  # found 0 program(s)
# (t=15.55) fallback i=39, candidate=[{'ANSWER': 'color'}]
  # found 0 program(s)
# (t=15.92) fallback i=40, candidate=[{'ANSWER': 'country'}]
  # found 0 program(s)
# (t=16.30) fallback i=41, candidate=[{'ANSWER': 'rating'}]
  # found 0 program(s)
# ====> fallback strategy (original) is triggered
# ====> use the original TaPas output as answer, which is: [1]

# ========== review report ========== #
